training_steps,agent_0,agent_1,agent_2
5760,0.23864678,0.26003474,0.27214044
5775,0.22646153,0.2434504,0.25637895
5790,0.20766082,0.22232258,0.234164
5805,0.18923989,0.20187579,0.21333641
5820,0.20550333,0.223194,0.23085506
5835,0.20786037,0.2264419,0.2405388
5850,0.1898225,0.20811242,0.22010168
5865,0.20366868,0.2173561,0.23090017
5880,0.21272981,0.22852485,0.24618429
5895,0.21190384,0.22502486,0.23754545
5910,0.19664937,0.2104986,0.22304615
5925,0.21224187,0.22483642,0.23776276
5940,0.25377116,0.27356076,0.29037648
5955,0.21663845,0.23685572,0.24739876
5970,0.2338604,0.25271362,0.26835755
5985,0.24365722,0.26196095,0.2797928
6000,0.21489273,0.23160763,0.23989895
6015,0.20064774,0.2133383,0.22768071
6030,0.20039386,0.21219483,0.22942051
6045,0.20775723,0.22810562,0.23824435
6060,0.22759031,0.24324666,0.25512463
6075,0.20756774,0.2207935,0.23614046
6090,0.23859179,0.25474793,0.27589113
6105,0.21739535,0.23285268,0.2492066
6120,0.25734082,0.2801422,0.2958504
6135,0.22494641,0.24327002,0.25853547
6150,0.19814652,0.21475367,0.22503087
6165,0.21496654,0.232163,0.24073748
6180,0.25034815,0.26740915,0.28224275
6195,0.2192088,0.23576137,0.24592276
6210,0.2149363,0.2298061,0.24275766
6225,0.23105946,0.24603957,0.24886256
6240,0.20445451,0.21788605,0.22852156
6255,0.23639782,0.25216997,0.26766515
6270,0.2138686,0.23062977,0.2430017
6285,0.22247663,0.23862481,0.25318438
